date,topic,cluster_compound,n_sentences
2024-07-31,45,-9.183129520806688e-06,1
2024-07-31,46,0.32690643343632547,3
2024-07-31,51,0.4027527428948505,4
2024-09-18,0,0.18232637243138186,10
2024-09-18,1,-0.012126121125020078,25
2024-09-18,2,0.1507263827450864,17
2024-09-18,3,0.2837725970839732,7
2024-09-18,4,-0.1241900898975139,8
2024-09-18,5,0.5606730949977446,3
2024-09-18,6,-0.04181180148277365,7
2024-09-18,7,-0.0003289027520820091,6
2024-09-18,8,-0.26035178060798597,3
2024-09-18,9,-0.4209299928154451,2
2024-09-18,10,0.9999968214558669,3
2024-09-18,11,-0.00015403676297864877,1
2024-09-18,14,-0.19990992354781742,15
2024-09-18,15,0.1605967277699142,6
2024-09-18,17,-0.02705689676804468,2
2024-09-18,18,-0.0008152079691257086,4
2024-09-18,20,-4.278082613495826e-06,1
2024-09-18,21,0.42292251653270796,2
2024-09-18,23,0.39885994891035603,5
2024-09-18,25,-0.003670794723717563,4
2024-09-18,26,-0.5005637964879384,2
2024-09-18,27,-0.4918911373242736,1
2024-09-18,28,0.3731313309621645,6
2024-09-18,32,-0.0037216927128196986,7
2024-09-18,33,0.22346525533430395,5
2024-09-18,35,0.9999895454542411,2
2024-09-18,36,0.33107141985211097,3
2024-09-18,37,0.0871347640126527,10
2024-09-18,38,-0.5976597170665627,4
2024-09-18,39,-0.33853433068770755,2
2024-09-18,40,-2.543162057122572e-05,2
2024-09-18,41,-0.0016467580931021075,3
2024-09-18,42,-0.011332290105248907,3
2024-09-18,43,-0.011419788605053327,2
2024-09-18,44,-0.14345074181971995,2
2024-09-18,46,-0.04848376503559848,1
2024-09-18,47,0.05268542577530866,4
2024-09-18,49,0.3737238005269319,2
2024-09-18,50,-9.256861815742923e-05,2
2024-09-18,51,-0.016814142865200665,2
2024-11-07,0,-0.3088505322917222,9
2024-11-07,1,-0.041177087690829076,13
2024-11-07,2,0.5762167272833607,16
2024-11-07,3,-0.04538984144528513,6
2024-11-07,4,-0.10143957323605217,3
2024-11-07,5,0.13239102605986658,5
2024-11-07,6,-0.0008407071466063343,8
2024-11-07,7,0.06948676500398498,6
2024-11-07,8,0.016175258439034224,1
2024-11-07,9,-0.0036954970275928645,1
2024-11-07,10,0.602533317413247,2
2024-11-07,11,-1.20717030540618e-05,1
2024-11-07,12,-0.00039832527390141575,6
2024-11-07,14,-0.06407876527009648,3
2024-11-07,15,-0.003386499396219733,5
2024-11-07,16,-0.24593573597475427,3
2024-11-07,17,-0.5401495136708642,3
2024-11-07,18,-2.2753633700745013e-05,1
2024-11-07,19,-0.8629557397216558,1
2024-11-07,20,-0.2194857313596117,3
2024-11-07,21,-0.03785718649305636,1
2024-11-07,22,-0.00034402194262384,4
2024-11-07,23,0.0001368149980862654,3
2024-11-07,25,0.9844191801967099,1
2024-11-07,27,0.37700865150309254,5
2024-11-07,28,0.8239441691677358,6
2024-11-07,29,-0.6013997461961708,5
2024-11-07,30,-0.7282781149697257,1
2024-11-07,31,-0.9970814621424324,1
2024-11-07,32,-0.00017806314972546033,2
2024-11-07,33,-0.2751769611495547,1
2024-11-07,34,-0.27480793268850334,2
2024-11-07,35,0.4386195269683757,4
2024-11-07,36,-0.016221842922004726,5
2024-11-07,37,-0.08581936297863042,3
2024-11-07,38,-0.4864065238482169,4
2024-11-07,40,-0.12586079377811693,7
2024-11-07,41,-0.0009621448116376996,1
2024-11-07,43,-0.022758386337955017,1
2024-11-07,47,-0.11891758282326918,5
2024-11-07,50,-0.00046271547194010054,2
2024-11-07,51,0.9999934485570066,1
2024-11-07,53,-9.068763966979532e-05,1
2024-12-18,0,-0.05630816774700838,38
2024-12-18,1,-0.3056582725565099,21
2024-12-18,2,0.5881745630443729,13
2024-12-18,3,0.33064411790413334,3
2024-12-18,4,-0.4113991962805607,7
2024-12-18,5,-0.11804410691649991,10
2024-12-18,6,-0.023358615653290827,10
2024-12-18,7,-6.208510399119405e-06,2
2024-12-18,8,-0.27753280053707385,4
2024-12-18,9,-4.220293330803315e-06,2
2024-12-18,10,0.49999290430115306,4
2024-12-18,12,-0.0009377361929361021,7
2024-12-18,14,-0.5317502444465195,7
2024-12-18,15,-0.04493266298941308,5
2024-12-18,17,-0.3349169950447693,3
2024-12-18,18,0.33242836992150576,6
2024-12-18,19,-0.514683390782011,2
2024-12-18,20,0.16835998586785195,4
2024-12-18,21,0.34179652781152203,4
2024-12-18,25,-5.755510755989235e-06,1
2024-12-18,26,-0.09082207529991138,2
2024-12-18,27,0.3072308154044383,3
2024-12-18,28,0.6451987229401784,7
2024-12-18,29,-0.0023758417211562723,3
2024-12-18,31,0.007787623659794463,2
2024-12-18,32,-3.181199634383347e-06,2
2024-12-18,33,-3.054096282539831e-06,1
2024-12-18,34,-0.2734539138185899,3
2024-12-18,35,0.5687897740907663,7
2024-12-18,36,0.2180472014258612,4
2024-12-18,37,-0.09366489574313164,1
2024-12-18,38,-0.0818356701473931,5
2024-12-18,40,-0.2921702552773837,5
2024-12-18,41,-0.0020564997626024706,2
2024-12-18,43,-0.0002872415740663807,3
2024-12-18,44,-0.00012028316490386715,1
2024-12-18,47,-0.20417908424060444,5
2024-12-18,48,-0.003459273602204623,3
2024-12-18,50,-8.374940671274089e-05,2
2024-12-18,51,0.0005460339554613622,7
2024-12-18,52,-0.4833719305286852,2
2024-12-18,53,-0.355338544171578,3
2025-01-29,0,0.2726655528252486,16
2025-01-29,1,-0.1068883353029705,17
2025-01-29,2,0.15765285816897526,9
2025-01-29,3,0.0012905399362660812,6
2025-01-29,4,-0.46277412159736286,7
2025-01-29,5,0.35830692797899244,5
2025-01-29,6,0.11060152928167025,14
2025-01-29,7,-0.008844529255526368,4
2025-01-29,8,-0.016883024128060243,5
2025-01-29,10,0.9988168644213147,1
2025-01-29,12,-8.60888963369888e-05,8
2025-01-29,13,0.41765794924469546,4
2025-01-29,14,0.24595414310797636,4
2025-01-29,15,0.0008854431689542253,2
2025-01-29,16,-0.00012239681564096827,1
2025-01-29,17,-0.048917097983121494,2
2025-01-29,18,-0.0012169298873914158,2
2025-01-29,19,0.30265143569962066,3
2025-01-29,20,-0.5304628814510295,3
2025-01-29,21,0.12412658924129971,4
2025-01-29,22,0.5930439465446398,1
2025-01-29,24,0.9839936844600743,1
2025-01-29,25,0.3555986401835753,5
2025-01-29,26,-9.269874681194779e-06,1
2025-01-29,28,-0.10696486164579255,4
2025-01-29,29,-0.3529575576388429,6
2025-01-29,32,0.24613906334629831,4
2025-01-29,33,-1.2705648089195165e-06,1
2025-01-29,34,-0.23506901168201466,4
2025-01-29,35,0.3217125214175667,6
2025-01-29,36,-0.4837105675123894,2
2025-01-29,37,-0.12706134468317032,1
2025-01-29,38,0.49864990429233913,4
